env,seed,lam,delta_exact,delta_learned,eps_score,delta_M,exact_decision,learned_decision,preserved
Env1_DoorKey-Lava,0,0.19,-0.04397379000000004,-0.05230768970243259,-0.008333899702432548,-0.04397379000000004,safe,safe,True
Env1_DoorKey-Lava,0,0.191,-0.04450523100000005,-0.052830096745914296,-0.008324865745914248,-0.04450523100000005,safe,safe,True
Env1_DoorKey-Lava,0,0.192,-0.04503667200000004,-0.053352503789396016,-0.008315831789395975,-0.04503667200000004,safe,safe,True
Env1_DoorKey-Lava,0,0.193,-0.04556811300000005,-0.05387491083287774,-0.008306797832877688,-0.04556811300000005,safe,safe,True
Env1_DoorKey-Lava,0,0.194,-0.04609955400000004,-0.054397317876359444,-0.008297763876359401,-0.04609955400000004,safe,safe,True
Env1_DoorKey-Lava,0,0.195,-0.04663099500000005,-0.054919724919841165,-0.008288729919841115,-0.04663099500000005,safe,safe,True
Env1_DoorKey-Lava,0,0.196,-0.047162436000000044,-0.055442131963322885,-0.008279695963322842,-0.047162436000000044,safe,safe,True
Env1_DoorKey-Lava,0,0.197,-0.04769387700000005,-0.055964539006804606,-0.008270662006804555,-0.04769387700000005,safe,safe,True
Env1_DoorKey-Lava,0,0.198,-0.048225318000000045,-0.05648694605028631,-0.008261628050286268,-0.048225318000000045,safe,safe,True
Env1_DoorKey-Lava,0,0.199,-0.04875675900000005,-0.057009353093768034,-0.008252594093767981,-0.04875675900000005,safe,safe,True
Env1_DoorKey-Lava,0,0.2,-0.049288200000000046,-0.057531760137249754,-0.008243560137249709,-0.049288200000000046,safe,safe,True
Env1_DoorKey-Lava,0,0.201,-0.04981964100000005,-0.05805416718073146,-0.008234526180731408,-0.04981964100000005,safe,safe,True
Env1_DoorKey-Lava,0,0.202,-0.05035108200000005,-0.05857657422421318,-0.008225492224213135,-0.05035108200000005,safe,safe,True
