seed,lam,delta_exact,delta_learned,eps_score,delta_M,exact_decision,learned_decision,score_error,exact_margin,within_margin,preserved
2,0.5,-0.21572050000000004,-0.2245055871969045,-0.008785087196904462,-0.21572050000000004,safe,safe,0.008785087196904462,0.21572050000000004,True,True
2,0.55,-0.24229255000000005,-0.2510719564020027,-0.008779406402002643,-0.24229255000000005,safe,safe,0.008779406402002643,0.24229255000000005,True,True
2,0.6000000000000001,-0.26886460000000006,-0.2776383256071009,-0.008773725607100824,-0.26886460000000006,safe,safe,0.008773725607100824,0.26886460000000006,True,True
2,0.65,-0.2954366500000001,-0.304204694812199,-0.008768044812198894,-0.2954366500000001,safe,safe,0.008768044812198894,0.2954366500000001,True,True
2,0.7000000000000001,-0.3220087000000001,-0.33077106401729717,-0.008762364017297075,-0.3220087000000001,safe,safe,0.008762364017297075,0.3220087000000001,True,True
2,0.75,-0.34858075000000005,-0.35733743322239525,-0.0087566832223952,-0.34858075000000005,safe,safe,0.0087566832223952,0.34858075000000005,True,True
2,0.8,-0.37515280000000006,-0.38390380242749345,-0.008751002427493382,-0.37515280000000006,safe,safe,0.008751002427493382,0.37515280000000006,True,True
2,0.8500000000000001,-0.4017248500000001,-0.41047017163259164,-0.008745321632591563,-0.4017248500000001,safe,safe,0.008745321632591563,0.4017248500000001,True,True
2,0.9,-0.4282969000000001,-0.4370365408376898,-0.008739640837689688,-0.4282969000000001,safe,safe,0.008739640837689688,0.4282969000000001,True,True
2,0.9500000000000001,-0.4548689500000001,-0.46360291004278803,-0.008733960042787925,-0.4548689500000001,safe,safe,0.008733960042787925,0.4548689500000001,True,True
2,1.0,-0.48144100000000006,-0.4901692792478861,-0.00872827924788605,-0.48144100000000006,safe,safe,0.00872827924788605,0.48144100000000006,True,True
2,1.05,-0.5080130500000002,-0.5167356484529843,-0.008722598452984065,-0.5080130500000002,safe,safe,0.008722598452984065,0.5080130500000002,True,True
2,1.1,-0.5345851000000001,-0.5433020176580825,-0.008716917658082357,-0.5345851000000001,safe,safe,0.008716917658082357,0.5345851000000001,True,True
